u,v,CN
159,311,0
72,22,1
146270,233,0
152,205,0
296,264,0
51,5,2
373,195,0
86,22,0
146270,33,0
269,17,2
157,149,1
72,434,0
111,287,0
371,51,2
39,26,2
22,287,0
232,5,0
8,372,0
428,102,0
192,149,1
143,122,0
76,188,0
131,194,0
1,157,1
431,206,0
370,350,0
32,195,1
305,287,0
8,51,0
311,76,0
257,318,0
304,83,0
152,161,0
17,157,1
49,117,1
136,116,4
2089740,86,0
431,59,0
137,287,0
340,2,0
85,422,0
428,153,0
216,363,0
246,33,0
231,117,0
231,398,0
172,269,0
304,316,1
48,30,3
59,372,0
44,72,0
364,9,0
173,2,0
350,1,1
159,243,0
371,431,0
395,59,0
172,122,0
117,121,0
63,198,0
72,195,1
102,350,0
72,399,0
42,275,0
188,370,1
42,92,0
95,161,0
302,72,2
157,398,0
230,77,0
232,143,0
32,45,0
37,1,0
22,170,0
117,313,0
350,5,1
71,309844,0
95,417,0
59,13,1
434,96,0
186,100,0
77,92,0
2,372,0
186,61,1
267,25,1
143,36,0
193,200,1
37,48,0
224,277,0
389,51,0
1384652,163,0
372,304,0
224,188,0
17,122,2
86,145,0
59,131,2
422,83,0
193,149,0
2089740,395,1
313,22,0
163,267,0
350,357,0
369,191,0
318,77,0
5,380,1
86,59,2
71,124,1
33,152,0
205,188,0
238,149,0
287,307,2
147,163,0
136,271,0
271,145,0
78,45,0
313,184,0
311,122,0
308,186,0
25,224,0
71,341,0
188,398,0
269,13,1
9,287,0
92,266,0
86,340,0
373,5,1
238,328,0
373,34,2
398,83,0
186,269,1
101,328,0
264,137,0
232,219,0
44,143,0
153,390,0
243,26,0
266,44,0
205,161,0
164,372,0
5,313,0
243,72,1
372,81,0
377,364,0
143,349,3
304,51,2
363,149,0
358,431,0
22,207,0
396,111,0
390,34,0
390,102,0
106,147,0
328,194,0
106,417,0
96,398,0
305,342,0
51,195,2
264,146270,0
404,72,0
342,85,0
149,384,0
192,55,2
93,287,0
50,350,2
34,305,1
77,157,0
67,58,0
195,96,0
395,146270,0
349,417,0
173,145,0
206,146270,0
63,204,0
153,370,0
302,40,0
214,143,0
61,78,1
395,116,0
1,234,1
243,170,0
372,102,0
292,308,1
242,204,0
371,191,0
63,384,0
25,233,0
172,102,0
67,83,0
243,303,0
13,234,0
100,399,0
384,188,0
1384652,231,1
243,77,0
328,396,0
277,59,0
161,287,0
188,271,0
172,153,0
398,173,0
188,191,0
45,302,0
131,340,2
93,157,0
224,122,0
44,194,0
67,93,0
122,2089740,2
92,332,0
233,116,1
203,115,1
95,259,0
184,204,0
243,267,0
192,117,3
332,123,0
101,390,0
92,30,0
307,399,0
275,5,0
219,2,0
384,147,0
55,44,0
313,92,0
285,259,0
67,193,0
33,26,1
81,96,0
25,357,0
9,384,0
157,86,1
205,340,1
111,302,0
157,46,0
35,184,0
410,307,1
309844,233,0
308,243,0
358,372,0
170,308,0
184,373,0
78,42,0
115,205,0
231,102,0
266,111,1
417,157,0
259,394,0
328,173,0
384,136,0
33,243,0
312,76,1
124,305,0
242,2,0
71,219,0
371,45,0
42,318,0
364,303,0
48,312,1
33,305,0
1384652,428,0
313,266,0
369,37,0
37,370,0
271,77,0
78,414,0
59,242,1
81,72,1
364,86,0
193,277,2
225,370,0
394,102,0
357,318,0
137,394,0
304,377,0
67,5,0
92,61,1
399,264,0
398,100,0
312,358,0
78,296,0
311,25,0
358,83,0
434,146270,0
117,86,2
1,428,0
369,225,0
61,189,0
200,199,2
46,9,0
243,292,0
203,332,0
304,8,0
206,328,0
199,86,1
124,349,0
313,219,0
193,369,0
207,394,0
287,233,0
67,111,1
219,163,0
95,124,0
1384652,410,0
44,200,0
45,157,0
287,312,0
78,26,0
124,195,0
303,184,0
417,44,0
404,296,0
328,193,0
238,304,0
205,232,0
242,100,0
225,402,0
234,63,0
186,395,0
192,153,0
36,146270,0
86,76,0
172,93,1
372,5,0
296,145,0
203,414,1
44,342,0
78,311,0
313,396,0
230,398,0
60,164,0
340,398,0
431,257,0
96,340,1
369,373,1
191,267,0
188,25,1
399,35,0
30,309844,1
309844,384,0
60,163,0
87,72,0
371,242,0
106,414,0
8,106,1
87,307,1
238,46,0
371,71,0
30,34,2
121,1,1
40,417,0
92,55,0
396,227,0
87,316,0
332,238,0
191,147,0
292,186,0
76,277,0
46,117,1
115,264,0
44,396,0
357,308,0
357,58,0
402,204,0
1,394,1
115,25,2
48,192,0
102,373,0
100,59,0
414,170,0
72,115,2
152,37,0
312,383,2
77,271,0
86,198,0
308,230,1
87,96,0
40,2089740,1
267,287,0
307,83,1
434,296,0
157,257,0
184,2089740,0
364,102,0
192,275,0
242,224,0
205,264,0
188,172,0
414,81,0
206,55,1
380,232,0
434,313,0
395,414,0
58,285,0
17,172,1
26,285,0
231,163,0
40,285,0
136,234,1
206,396,0
225,92,0
146270,72,0
46,242,0
232,35,0
318,48,1
340,372,0
72,396,0
285,143,0
277,207,0
428,106,0
93,402,1
152,87,0
200,313,0
340,316,1
399,312,1
428,292,0
26,186,0
1384652,206,1
296,428,0
50,72,0
45,191,0
102,22,0
95,364,0
36,136,0
243,81,0
61,198,1
95,422,0
121,373,1
383,39,4
233,342,0
410,86,0
153,364,0
111,313,1
5,13,0
71,173,1
390,186,0
380,111,1
292,434,0
124,71,1
60,116,2
243,389,0
67,371,0
25,311,0
238,280,0
8,101,0
246,71,1
72,357,0
280,277,0
434,26,1
349,238,0
17,398,0
123,51,0
422,205,0
50,422,0
203,358,1
170,137,1
238,2,0
198,267,1
399,184,0
5,106,1
92,340,0
350,8,0
55,394,0
363,231,0
199,394,0
303,224,0
1,152,0
78,121,0
246,198,1
372,296,1
58,358,0
46,44,0
63,50,1
147,373,1
219,390,0
121,216,0
316,157,0
200,328,0
308,153,0
267,1,1
145,259,0
318,157,0
60,225,0
95,257,0
404,26,0
394,163,0
95,194,0
122,9,2
1,431,0
303,71,1
101,342,0
246,332,0
131,184,0
292,50,1
422,136,0
364,214,0
389,242,0
5,271,0
384,369,0
305,193,0
1384652,87,0
363,101,0
184,340,0
394,106,0
341,173,0
164,214,0
152,184,0
259,173,0
101,100,1
216,48,1
59,2089740,4
410,61,1
232,214,1
227,163,0
152,136,0
363,72,0
398,51,0
373,267,1
257,308,0
116,377,1
37,189,0
143,59,1
2,307,0
370,121,0
102,49,0
172,198,1
304,193,1
44,257,0
243,147,0
369,40,1
85,193,0
100,32,0
234,349,0
296,308,0
195,72,1
194,302,0
173,106,0
60,341,0
8,146270,0
369,417,0
428,431,0
2089740,363,0
340,77,0
2,37,0
61,383,1
280,192,1
153,316,0
95,106,0
267,87,0
77,370,0
48,395,2
316,203,1
332,372,1
384,50,0
198,296,0
292,225,0
342,271,0
238,76,0
172,100,1
198,146270,0
1384652,389,0
136,225,0
380,42,0
394,40,0
149,172,1
383,431,0
277,204,0
292,332,0
147,230,1
318,358,0
2089740,372,0
287,161,0
76,332,0
35,292,1
164,9,0
307,242,0
49,311,0
195,25,1
312,85,0
428,414,0
81,396,0
340,285,0
122,390,0
1,116,2
37,246,0
316,153,0
395,32,1
115,394,0
214,227,0
102,147,0
257,259,0
25,170,1
34,81,0
307,246,1
422,71,0
200,394,0
51,342,0
332,87,1
377,96,0
124,2089740,0
383,189,0
233,313,0
76,380,0
275,192,0
304,1384652,1
410,225,0
232,414,0
266,86,0
51,399,0
230,328,0
194,34,0
1,30,2
384,259,0
398,17,0
377,87,0
242,311,0
117,204,1
60,39,1
357,267,0
340,312,1
72,370,0
414,302,1
26,304,0
92,8,0
111,51,1
302,292,0
246,414,0
269,81,1
390,71,0
40,422,1
364,234,1
266,242,0
410,207,0
2089740,193,1
316,95,0
116,145,1
431,42,0
157,83,0
275,350,1
123,384,0
363,205,0
145,287,0
5,95,0
159,106,0
373,383,2
46,214,0
363,25,0
137,271,1
2089740,46,1
404,242,0
264,233,0
78,384,0
143,373,1
225,78,0
191,77,0
17,370,0
5,332,1
192,332,1
417,358,0
102,2089740,0
398,350,0
191,32,1
206,192,0
384,340,0
93,61,2
428,316,1
312,149,2
304,238,0
2089740,304,0
37,205,0
111,227,1
5,257,0
377,302,0
77,115,0
308,311,0
231,93,1
42,188,0
259,414,0
313,332,0
230,370,0
271,85,0
292,36,0
51,417,0
81,266,0
92,203,0
30,350,3
422,95,0
399,93,0
136,277,0
267,34,4
188,285,0
318,67,0
364,117,0
313,358,0
224,357,0
285,33,0
35,116,2
1384652,203,1
77,428,0
194,380,0
431,302,0
266,147,0
309844,188,0
316,198,1
186,17,0
93,257,2
131,271,0
116,96,3
402,238,0
143,67,0
37,9,0
188,86,0
342,76,0
39,71,2
1,377,0
116,55,3
349,269,0
67,206,1
358,100,0
60,394,0
225,145,0
143,78,0
92,341,1
394,305,0
146270,51,0
67,191,1
36,216,0
136,369,1
394,309844,0
149,101,1
91,302,1
198,203,1
296,204,0
404,13,0
145,233,0
58,2089740,4
37,172,0
192,402,1
45,206,0
32,304,0
33,48,0
364,37,0
304,25,1
42,309844,0
332,275,0
2,395,0
48,77,0
152,287,0
44,394,0
266,85,0
116,33,0
78,364,0
231,363,0
191,145,0
414,61,0
45,96,0
404,396,0
193,307,2
242,67,0
428,188,0
67,342,0
384,372,0
192,422,0
191,371,0
219,117,0
402,227,1
48,292,2
242,186,0
341,191,0
33,1384652,1
67,402,0
1,225,0
232,266,0
332,395,0
238,91,2
313,414,0
13,257,0
193,101,0
22,163,0
342,163,0
87,259,0
307,173,2
186,72,1
36,404,0
266,157,0
384,42,0
101,22,0
203,311,0
304,389,0
398,9,0
431,131,0
60,46,1
173,194,0
234,101,0
340,292,1
271,39,1
383,51,4
13,357,0
311,417,0
200,340,3
394,100,0
275,234,0
277,40,1
1,36,0
216,194,0
189,51,0
372,200,1
131,224,0
189,5,0
161,34,0
96,72,0
304,216,0
371,121,0
149,304,0
50,91,2
72,13,0
87,269,1
55,207,0
389,163,0
145,369,0
357,383,0
147,121,0
106,377,1
234,149,0
100,308,1
332,198,1
396,292,0
271,410,0
161,137,0
55,404,0
206,32,0
231,349,1
44,404,0
122,231,0
371,172,1
149,313,0
136,124,1
214,266,0
191,285,0
369,164,0
136,238,0
59,357,0
205,157,0
106,234,2
1384652,186,0
275,372,1
227,46,2
198,292,1
58,207,0
402,5,1
198,143,1
93,309844,0
91,384,0
414,242,0
312,371,0
157,227,0
316,312,1
100,48,1
234,264,0
257,172,0
313,233,0
58,312,2
266,192,0
111,303,1
157,92,2
30,60,2
93,312,1
83,49,2
137,91,5
100,417,0
370,173,0
189,309844,0
313,170,0
307,200,4
101,1,1
61,350,0
72,34,2
184,59,0
149,137,1
35,304,0
86,398,0
328,61,0
60,358,0
233,131,2
100,72,0
257,173,0
302,312,0
371,77,0
200,266,1
81,395,0
280,257,0
271,195,0
312,78,0
25,164,0
243,296,0
216,372,0
206,58,2
