u,v,GD
242,741,0
406,370,-1
149,556,-3
2521991,275,-4
550,77,-4
489,755,-3
608,445,-2
35,44,-1
740,719,-4
567,758,-1
39,740,-3
810,145,-3
571,285,-3
200,700,0
146270,257,-4
59,121,-2
275,341,-2
198,615,-4
143,541,-4
305,406,-1
193,547,-2
332,657,-2
63,657,-4
233,205,-3
143,5,-3
611,35,-2
834,568,-4
483,445,-2
714,402,-3
861,714,-3
547,609,-3
459,534,-4
755,775,0
247,396,-3
390,34,-3
714,758,-3
697,588,-3
145,77,0
193,145,0
42,58,-3
232,63,-4
556,448,-2
376,373,-4
373,414,-4
758,266,-3
233,657,-2
34,145,-4
42,525,-2
285,414,-4
61,318,-4
326,87,-4
422,202,-2
563,428,0
613,115,-2
317,361,0
364,195,-4
447,588,-3
350,44,-3
234,631,-4
810,288,-3
825,292,0
483,117,-2
162,431,-3
834,419,-4
292,188,-4
627,308,-3
825,332,-4
96,279,0
396,572,-2
59,797,-2
200,614,-2
782,730,-3
838,285,-3
61,93,-4
700,782,0
13,795,-4
288,419,-3
72,111,-3
206,446,-4
361,897,-3
514,521,-2
673,193,-4
518,200,-2
876,267,-3
404,230,-2
162,534,-3
2089740,795,-4
796,394,-3
200,30,-3
507,75,-2
371,572,-4
377,287,-4
188,429,-2
571,608,-2
536,96,0
316,39,-4
189,99,-3
714,106,-3
264,550,-2
380,203,-4
568,370,-2
67,856,0
72,832,-3
429,779,-3
432,362,-1
162,680,-3
308,115,-3
781,59,-3
852,888,-2
189,745,-3
740,796,-3
615,341,-3
615,106,-2
49,457,-2
219,123,-4
235,567,-3
719,85,0
224,361,0
13,445,-3
514,232,-2
40,381,-2
779,431,-3
781,357,-2
163,419,-3
67,380,-3
598,861,-4
63,121,-4
837,376,-4
145,247,0
888,234,-4
60,667,-2
204,763,-1
162,322,-3
489,99,-2
547,636,-3
207,162,-3
392,115,-3
431,233,-3
493,195,-3
22,189,-3
163,563,-4
550,825,0
33,614,-3
37,247,-4
288,414,-3
917,737,0
360,792,-4
614,888,-4
645,726,-3
63,42,-4
432,703,-3
44,779,-3
27687,534,-2
200,621,0
673,730,-3
361,423,-4
288,12081,0
799,917,0
267,117,-2
108465,543,-4
93,200,-3
428,163,0
536,810,-3
35,726,-2
680,305,-3
205,666,0
528,779,-4
238,619,-3
631,813,-4
856,740,0
27687,373,-3
536,706,-4
99,288,-3
394,235,-3
67,147,-3
383,619,-1
792,2521991,0
264,17,-3
350,373,-2
115,758,-2
313,42,0
71,370,-3
588,373,-2
614,184,-3
51,483,-2
462,842,-2
231,87,-3
775,598,0
357,186,-2
402,613,-3
538,404,-3
423,383,-1
529,897,-4
117,371,0
402,571,-3
116,91,-1
431,121,-3
193,380,-2
781,445,-3
737,889,-4
326,219,-4
40,184,-3
91,528,-3
13,259,0
145,837,-3
445,2089740,-3
825,275,-4
507,12081,0
580,527,-2
308,459,-4
428,1,0
2089740,302,-3
26,318,-2
71,770,-3
619,797,-3
285,76,-4
889,33,-3
444,224,-3
922,842,0
507,372,-2
299,194,-3
916,318,-4
716,188,0
2089740,193,-4
225,384,-2
137,33,-3
371,106,-4
72,813,-2
303,528,0
316,133,-3
422,567,-2
299,164,-4
93,479,-2
889,414,-4
332,285,-3
311,117,-4
888,521,-4
303,186,0
242,312,0
428,878,0
75,439,-3
390,219,-3
457,657,-3
741,350,-4
277,745,-3
312,60,-4
238,58,-3
67,71,-3
361,588,0
785,27687,-4
341,834,-3
163,93,0
259,224,-4
700,274,0
309844,146270,-3
267,428,0
373,605,-3
22,673,-2
437,572,-2
781,189,-3
437,267,-2
722,77,-4
203,147,-4
318,37,-3
71,834,-3
44,429,-3
763,189,-3
730,234,-3
162,357,-2
700,136,0
242,527,0
745,888,-4
758,106,-2
188,431,-3
369,680,-2
578,390,0
667,714,-3
721,85,0
49,507,-3
437,876,-3
733,1384652,-2
714,888,-1
267,745,-3
44,376,-3
611,763,-3
207,392,-4
231,706,-3
184,189,-3
27687,479,-2
445,838,-3
349,914,0
922,536,-4
872,35,-3
25,1384652,-2
479,557,-2
634,781,-3
706,462,-3
230,264,-3
719,782,-2
700,232,0
63,394,-3
55,529,-4
357,437,-2
729,2089740,-4
9,332,-3
383,341,-2
30,96,0
267,137,-2
117,390,-3
184,758,-3
34,224,-2
42,332,-3
67,85,0
740,380,-3
423,370,-2
536,342,-3
673,285,-3
876,275,-3
917,380,0
483,697,-3
825,737,-4
370,751,-3
93,856,0
784,350,-3
363,136,-4
718,72,-3
541,312,-4
318,872,-4
396,714,-3
718,51,-3
13,396,-3
784,636,-4
123,198,-4
567,206,-2
431,377,-3
727,659,-3
748,111,-4
402,614,-3
143,740,-4
193,634,-4
362,519,-3
72,666,0
763,781,-3
876,22,-3
861,1,-4
92,149,-3
332,547,-3
121,369,-2
419,369,-1
2089740,380,-3
115,718,-3
360,9,-4
233,439,-2
99,578,-4
428,512,0
634,349,-3
666,699,0
370,25,-2
13,636,-2
719,188,-3
394,67,-4
136,202,-3
225,360,-3
149,67,0
573,557,-2
521,713,-4
267,518,-2
837,518,-3
318,364,-4
795,673,-3
784,852,-4
755,897,-2
12081,394,0
316,296,-4
758,122,-1
13,856,-4
9,371,0
49,840,0
475,267,-3
360,225,-3
360,342,-2
1384652,781,-2
722,308,-4
238,224,-4
381,17,-3
799,203,-4
722,44,-3
891,657,-2
122,108465,-2
627,372,-4
889,598,-2
372,813,-3
457,137,-2
697,371,0
888,2521991,0
299,722,-3
373,203,-4
876,914,-4
615,657,-2
522,605,-3
67,680,-3
741,27687,-3
795,547,-2
785,13,-3
503,58,-3
837,235,-2
699,842,-3
571,406,-3
634,22,-4
33,194,-3
547,371,0
1,116,-3
922,305,0
186,316,-4
876,26,-2
611,795,-3
117,751,-3
383,49,-2
266,748,-4
521,634,-4
2521991,2089740,-4
202,541,-3
528,567,-3
363,615,-3
716,888,0
541,370,-3
362,538,-4
9,888,-4
922,799,0
224,58,-2
91,67,-3
383,563,-2
51,188,-2
341,235,-3
287,377,-4
543,645,-4
680,852,-3
149,445,-3
198,59,-3
318,27687,-4
430,390,-3
636,483,-3
475,279,-3
486,49,-2
383,781,-3
659,832,-2
765,444,-4
419,889,-2
775,730,0
186,360,-3
445,842,-4
737,831,-4
376,737,-3
242,361,0
718,699,-3
259,2521991,0
578,117,-4
184,730,-3
878,748,-3
147,332,-3
837,341,-3
432,285,-2
512,224,-3
784,203,-4
832,645,-4
838,722,-3
765,108465,-3
235,30,-3
645,580,-2
147,457,-1
444,394,-3
475,398,-3
598,863,-3
550,781,-4
448,275,-2
332,279,-3
299,636,-2
145,30,-4
390,567,-3
631,115,-4
529,116,-3
414,296,-3
184,203,-4
741,572,-4
259,445,-4
233,538,-4
162,2089740,-3
206,44,-2
46,457,-3
46,373,-3
206,457,-2
578,299,0
225,598,-4
224,381,-2
730,91,-3
164,572,-3
697,224,-2
312,292,-4
613,184,-3
60,748,-3
832,193,-2
116,631,-3
611,431,-3
224,92,-3
1384652,303,0
361,429,-4
308,444,-3
106,627,-3
121,189,-3
779,111,-3
121,95,-3
312,872,-3
225,46,-3
573,891,-2
205,718,-3
475,322,-3
25,534,-3
206,362,-3
277,889,-3
541,137,-3
795,838,-3
680,34,-2
514,342,-1
429,279,-2
85,430,0
657,613,-3
26,149,-3
765,737,-3
147,390,-3
634,292,-4
383,730,-2
475,1384652,-2
627,631,-4
529,170,-4
266,745,-3
722,369,-4
147,264,-2
342,72,-2
259,42,-4
721,376,-3
615,680,-2
71,224,-2
657,430,-3
308,512,-3
225,571,-3
457,85,0
700,332,0
316,349,0
296,657,-2
267,72,-2
309844,2089740,-4
146270,627,-4
891,349,-3
390,96,0
149,588,-2
25,332,-2
99,888,-3
147,163,-4
796,37,-3
9,550,-4
713,184,-3
361,75,-4
392,332,-2
93,288,-4
486,493,-2
536,316,-3
779,810,-3
376,234,-4
5,831,-3
91,116,-1
170,195,-4
391,37,-3
230,514,-2
781,299,-3
784,145,0
543,231,-4
71,312,-3
30,299,-2
563,51,-3
383,285,-2
67,791,-4
373,611,-3
35,61,-4
277,838,-2
609,111,-3
551,394,-3
259,146270,0
673,302,-3
598,33,-4
842,312,-4
445,721,-2
563,327,-3
302,58,-3
722,459,-4
332,699,-3
203,302,-3
810,108465,-3
519,538,-4
856,837,-4
856,341,-3
680,394,-4
528,922,-4
751,792,-3
784,302,-3
721,26,-2
512,572,-3
699,573,-1
72,634,-3
316,796,-3
34,326,-3
123,111,-3
398,799,-4
95,722,-4
493,666,0
611,71,-2
631,831,-4
842,373,-3
203,137,-4
419,371,-4
429,318,-4
831,33,-3
46,852,-3
444,659,-3
362,63,-4
233,133,-3
207,457,-3
342,61,-3
242,795,0
116,60,-2
115,136,-2
837,733,-2
123,311,-3
784,713,-3
714,146270,-3
429,274,-2
206,170,-3
419,556,-1
108465,489,-3
726,204,-2
863,121,-4
371,740,0
17,184,-3
163,111,-4
198,25,-2
205,765,-2
770,184,-3
889,514,-3
519,157,-3
697,572,-3
108465,856,-4
96,27687,0
149,377,-3
834,292,-4
206,51,-2
713,341,-4
414,493,-3
428,721,0
189,137,-3
719,67,-3
267,12081,0
204,782,-2
479,396,-2
13,394,-3
430,856,-4
431,521,-3
292,30,-2
157,71,-3
327,611,-2
631,863,0
445,706,-2
396,72,-2
313,446,0
525,137,-3
722,202,-4
149,781,-4
203,605,-4
133,341,-3
571,83,-1
383,27687,-2
40,571,-3
396,543,-3
447,706,-3
376,543,-4
765,567,-2
423,303,0
512,26,-3
332,115,-3
83,206,-1
357,719,-3
60,63,-4
713,277,-2
299,580,-3
304,27687,-2
733,615,-2
430,797,-3
563,745,-3
598,512,-4
305,751,-4
230,121,-2
1384652,357,-2
404,357,-1
108465,538,-4
615,44,-2
840,680,0
234,42,-4
621,247,0
58,341,-1
507,316,-4
608,277,-3
371,87,0
311,396,-3
383,58,-2
380,703,-2
645,751,-4
188,106,-2
447,71,-3
247,547,-4
106,369,-3
493,8,-4
588,414,-4
12081,232,0
71,390,-3
402,67,-4
363,2521991,0
