u,v,PA
159,311,3
72,22,14
146270,233,6
152,205,9
296,264,8
51,5,39
373,195,24
86,22,3
146270,33,4
269,17,225
157,149,72
72,434,56
111,287,22
371,51,52
39,26,168
22,287,2
232,5,6
8,372,18
428,102,2
192,149,144
143,122,75
76,188,7
131,194,42
1,157,64
431,206,6
370,350,12
32,195,20
305,287,4
8,51,39
311,76,3
257,318,6
304,83,48
152,161,3
17,157,120
49,117,119
136,116,483
2089740,86,45
431,59,16
137,287,20
340,2,24
85,422,3
428,153,6
216,363,0
246,33,16
231,117,85
231,398,5
172,269,90
304,316,16
48,30,108
59,372,96
44,72,14
364,9,21
173,2,9
350,1,48
159,243,2
371,431,4
395,59,48
172,122,90
117,121,34
63,198,12
72,195,56
102,350,6
72,399,14
42,275,12
188,370,14
42,92,14
95,161,4
302,72,42
157,398,8
230,77,70
232,143,10
32,45,15
37,1,16
22,170,2
117,313,51
350,5,18
71,309844,12
95,417,8
59,13,128
434,96,16
186,100,3
77,92,35
2,372,18
186,61,27
267,25,117
143,36,15
193,200,190
37,48,18
224,277,15
389,51,13
1384652,163,8
372,304,24
224,188,21
17,122,225
86,145,9
59,131,112
422,83,12
193,149,90
2089740,395,45
313,22,3
163,267,9
350,357,6
369,191,3
318,77,10
5,380,12
86,59,48
71,124,12
33,152,12
205,188,21
238,149,27
287,307,36
147,163,5
136,271,42
271,145,6
78,45,9
313,184,0
311,122,45
308,186,15
25,224,39
71,341,24
188,398,7
269,13,120
9,287,14
92,266,21
86,340,24
373,5,18
238,328,9
373,34,84
398,83,12
186,269,45
101,328,21
264,137,40
232,219,4
44,143,5
153,390,0
243,26,24
266,44,3
205,161,3
164,372,0
5,313,9
243,72,28
372,81,24
377,364,12
143,349,25
304,51,52
363,149,0
358,431,5
22,207,2
396,111,44
390,34,0
390,102,0
106,147,55
328,194,18
106,417,22
96,398,4
305,342,4
51,195,52
264,146270,4
404,72,14
342,85,6
149,384,9
192,55,144
93,287,14
50,350,54
34,305,28
77,157,40
67,58,126
195,96,16
395,146270,3
349,417,10
173,145,9
206,146270,6
63,204,27
153,370,6
302,40,42
214,143,30
61,78,27
395,116,69
1,234,96
243,170,4
372,102,6
292,308,25
242,204,27
371,191,4
63,384,3
25,233,78
172,102,6
67,83,72
243,303,14
13,234,96
100,399,1
384,188,7
1384652,231,40
243,77,10
328,396,12
277,59,80
161,287,2
188,271,14
172,153,18
398,173,3
188,191,7
45,302,9
131,340,56
93,157,56
224,122,45
44,194,6
67,93,42
122,2089740,225
92,332,42
233,116,138
203,115,35
95,259,8
184,204,0
243,267,18
192,117,272
332,123,12
101,390,0
92,30,84
307,399,18
275,5,18
219,2,6
384,147,5
55,44,9
313,92,21
285,259,2
67,193,60
33,26,48
81,96,16
25,357,13
9,384,7
157,86,24
205,340,24
111,302,33
157,46,80
35,184,0
410,307,18
309844,233,6
308,243,10
358,372,30
170,308,10
184,373,0
78,42,6
115,205,21
231,102,5
266,111,33
417,157,16
259,394,6
328,173,9
384,136,21
33,243,8
312,76,5
124,305,2
242,2,9
71,219,24
371,45,12
42,318,4
364,303,21
48,312,45
33,305,8
1384652,428,16
313,266,9
369,37,6
37,370,4
271,77,10
78,414,3
59,242,48
81,72,56
364,86,9
193,277,50
225,370,10
394,102,3
357,318,2
137,394,30
304,377,16
67,5,18
92,61,63
399,264,4
398,100,1
312,358,25
78,296,6
311,25,39
358,83,60
434,146270,4
117,86,51
1,428,16
369,225,15
61,189,9
200,199,152
46,9,70
243,292,10
203,332,30
304,8,12
206,328,18
199,86,24
124,349,5
313,219,6
193,369,30
207,394,6
287,233,12
67,111,66
219,163,2
95,124,4
1384652,410,8
44,200,19
45,157,24
287,312,10
78,26,36
124,195,4
303,184,0
417,44,2
404,296,2
328,193,30
238,304,12
205,232,6
242,100,3
225,402,10
234,63,36
186,395,9
192,153,48
36,146270,3
86,76,3
172,93,42
372,5,18
296,145,6
203,414,5
44,342,2
78,311,9
313,396,12
230,398,14
60,164,0
340,398,8
431,257,3
96,340,32
369,373,18
191,267,9
188,25,91
399,35,8
30,309844,12
309844,384,1
60,163,9
87,72,98
371,242,12
106,414,11
8,106,33
87,307,126
238,46,30
371,71,48
30,34,168
121,1,16
40,417,28
92,55,63
396,227,28
87,316,28
332,238,18
191,147,5
292,186,15
76,277,5
46,117,170
115,264,28
44,396,4
357,308,5
357,58,21
402,204,18
1,394,24
115,25,91
48,192,144
102,373,6
100,59,16
414,170,2
72,115,98
152,37,6
312,383,85
77,271,10
86,198,12
308,230,70
87,96,28
40,2089740,210
267,287,18
307,83,216
434,296,8
157,257,24
184,2089740,0
364,102,3
192,275,96
242,224,9
205,264,12
188,172,42
414,81,4
206,55,54
380,232,8
434,313,12
395,414,3
58,285,21
17,172,90
26,285,12
231,163,5
40,285,14
136,234,252
206,396,24
225,92,35
146270,72,14
46,242,30
232,35,16
318,48,18
340,372,48
72,396,56
285,143,5
277,207,10
428,106,22
93,402,14
152,87,21
200,313,57
340,316,32
399,312,5
428,292,10
26,186,36
1384652,206,48
296,428,4
50,72,126
45,191,3
102,22,1
95,364,12
36,136,63
243,81,8
61,198,36
95,422,4
121,373,12
383,39,238
233,342,12
410,86,3
153,364,9
111,313,33
5,13,24
71,173,36
390,186,0
380,111,44
292,434,20
124,71,12
60,116,207
243,389,2
67,371,24
25,311,39
238,280,6
8,101,21
246,71,48
72,357,14
280,277,10
434,26,48
349,238,15
17,398,15
123,51,26
422,205,3
50,422,9
203,358,25
170,137,20
238,2,9
198,267,36
399,184,0
5,106,33
92,340,56
350,8,18
55,394,27
363,231,0
199,394,24
303,224,21
1,152,24
78,121,6
246,198,16
372,296,12
58,358,105
46,44,10
63,50,27
147,373,30
219,390,0
121,216,8
316,157,32
200,328,57
308,153,15
267,1,72
145,259,6
318,157,16
60,225,45
95,257,12
404,26,12
394,163,3
95,194,24
122,9,105
1,431,8
303,71,84
101,342,14
246,332,24
131,184,0
292,50,45
422,136,21
364,214,18
389,242,3
5,271,6
384,369,3
305,193,20
1384652,87,56
363,101,0
184,340,0
394,106,33
341,173,6
164,214,0
152,184,0
259,173,6
101,100,7
216,48,36
59,2089740,240
410,61,9
232,214,12
227,163,7
152,136,63
363,72,0
398,51,13
373,267,54
257,308,15
116,377,92
37,189,2
143,59,80
2,307,54
370,121,4
102,49,7
172,198,24
304,193,40
44,257,3
243,147,10
369,40,42
85,193,30
100,32,5
234,349,60
296,308,10
195,72,56
194,302,18
173,106,33
60,341,18
8,146270,3
369,417,6
428,431,2
2089740,363,0
340,77,40
2,37,6
61,383,153
280,192,32
153,316,12
95,106,44
267,87,63
77,370,10
48,395,27
316,203,20
332,372,36
384,50,9
198,296,8
292,225,25
342,271,4
238,76,3
172,100,6
198,146270,4
1384652,389,8
136,225,105
380,42,8
394,40,42
149,172,54
383,431,17
277,204,45
292,332,30
147,230,70
318,358,10
2089740,372,90
287,161,2
76,332,6
35,292,40
164,9,0
307,242,54
49,311,21
195,25,52
312,85,15
428,414,2
81,396,16
340,285,8
122,390,0
1,116,184
37,246,8
316,153,12
395,32,15
115,394,21
214,227,42
102,147,5
257,259,6
25,170,26
34,81,56
307,246,72
422,71,12
200,394,57
51,342,26
332,87,42
377,96,16
124,2089740,15
383,189,17
233,313,18
76,380,4
275,192,96
304,1384652,32
410,225,5
232,414,2
266,86,9
51,399,13
230,328,42
194,34,84
1,30,96
384,259,2
398,17,15
377,87,28
242,311,9
117,204,153
60,39,126
357,267,9
340,312,40
72,370,28
414,302,3
26,304,48
92,8,21
111,51,143
302,292,15
246,414,4
269,81,60
390,71,0
40,422,14
364,234,36
266,242,9
410,207,2
2089740,193,150
316,95,16
116,145,69
431,42,2
157,83,96
275,350,36
123,384,2
363,205,0
145,287,6
5,95,12
159,106,11
373,383,102
46,214,60
363,25,0
137,271,20
2089740,46,150
404,242,3
264,233,24
78,384,3
143,373,30
225,78,15
191,77,5
17,370,30
5,332,18
192,332,96
417,358,10
102,2089740,15
398,350,6
191,32,5
206,192,96
384,340,8
93,61,63
428,316,8
312,149,45
304,238,12
2089740,304,60
37,205,6
111,227,77
5,257,9
377,302,12
77,115,35
308,311,15
231,93,35
42,188,14
259,414,2
313,332,18
230,370,28
271,85,6
292,36,15
51,417,26
81,266,12
92,203,35
30,350,72
422,95,4
399,93,7
136,277,105
267,34,126
188,285,7
318,67,12
364,117,51
313,358,15
224,357,3
285,33,4
35,116,184
1384652,203,40
77,428,10
194,380,24
431,302,3
266,147,15
309844,188,7
316,198,16
186,17,45
93,257,21
131,271,14
116,96,92
402,238,6
143,67,30
37,9,14
188,86,21
342,76,2
39,71,168
1,377,32
116,55,207
349,269,75
67,206,36
358,100,5
60,394,27
225,145,15
143,78,15
92,341,14
394,305,6
146270,51,13
67,191,6
36,216,12
136,369,63
394,309844,3
149,101,63
91,302,186
198,203,20
296,204,18
404,13,8
145,233,18
58,2089740,315
37,172,12
192,402,32
45,206,18
32,304,20
33,48,36
364,37,6
304,25,52
42,309844,2
332,275,36
2,395,9
48,77,45
152,287,6
44,394,3
266,85,9
116,33,92
78,364,9
231,363,0
191,145,3
414,61,9
45,96,12
404,396,4
193,307,180
242,67,18
428,188,14
67,342,12
384,372,6
192,422,16
191,371,4
219,117,34
402,227,14
48,292,45
242,186,9
341,191,2
33,1384652,32
67,402,12
1,225,40
232,266,6
332,395,18
238,91,186
313,414,3
13,257,24
193,101,70
22,163,1
342,163,2
87,259,14
307,173,54
186,72,42
36,404,3
266,157,24
384,42,2
101,22,7
203,311,15
304,389,4
398,9,7
431,131,7
60,46,90
173,194,18
234,101,84
340,292,40
271,39,28
383,51,221
13,357,8
311,417,6
200,340,152
394,100,3
275,234,72
277,40,70
1,36,24
216,194,24
189,51,13
372,200,114
131,224,21
189,5,3
161,34,14
96,72,56
304,216,16
371,121,8
149,304,36
50,91,558
72,13,112
87,269,105
55,207,18
389,163,1
145,369,9
357,383,17
147,121,10
106,377,44
234,149,108
100,308,5
332,198,24
396,292,20
271,410,2
161,137,10
55,404,9
206,32,30
231,349,25
44,404,1
122,231,75
371,172,24
149,313,27
136,124,21
214,266,18
191,285,1
369,164,0
136,238,63
59,357,16
205,157,24
106,234,132
1384652,186,24
275,372,36
227,46,70
198,292,20
58,207,42
402,5,6
198,143,20
93,309844,7
91,384,62
414,242,3
312,371,20
157,227,56
316,312,20
100,48,9
234,264,48
257,172,18
313,233,18
58,312,105
266,192,48
111,303,77
157,92,56
30,60,108
93,312,35
83,49,84
137,91,620
100,417,2
370,173,6
189,309844,1
313,170,6
307,200,342
101,1,56
61,350,54
72,34,196
184,59,0
149,137,90
35,304,32
86,398,3
328,61,27
60,358,45
233,131,42
100,72,14
257,173,9
302,312,15
371,77,20
200,266,57
81,395,12
280,257,6
271,195,8
312,78,15
25,164,0
243,296,4
216,372,24
206,58,126
131,377,28
123,2089740,30
92,86,21
95,216,16
231,184,0
308,87,35
36,188,21
422,117,17
285,303,7
173,93,21
143,45,15
83,341,24
63,46,30
304,116,92
206,246,24
36,17,45
100,1,8
434,163,4
373,340,48
48,60,81
205,76,3
159,2,3
395,231,15
308,157,40
383,55,153
414,71,12
431,1,8
431,434,4
101,384,7
302,431,3
259,328,6
204,163,9
328,203,15
49,341,14
364,32,15
164,394,0
78,207,6
117,275,102
45,46,30
153,137,30
55,204,81
316,269,60
206,371,24
369,71,36
227,372,42
96,309844,4
380,308,20
33,313,12
63,159,3
106,102,11
2,312,15
377,194,24
117,81,68
311,193,30
364,85,9
161,259,2
8,350,18
342,230,28
428,51,26
102,285,1
292,51,65
46,219,20
227,92,49
390,136,0
35,312,40
275,102,6
398,396,4
49,26,84
59,58,336
358,364,15
309844,58,21
380,35,32
434,71,48
131,246,28
224,304,12
199,17,120
67,188,42
93,242,21
191,95,4
22,157,8
349,296,10
48,39,126
305,42,4
131,102,7
77,383,85
275,302,18
55,410,9
296,61,18
242,267,27
146270,121,2
184,383,0
195,404,4
93,17,105
431,349,5
9,34,98
311,198,12
357,277,5
131,45,21
77,5,15
111,417,22
147,305,10
184,216,0
95,332,24
417,145,6
214,95,24
313,269,45
194,364,18
214,198,24
396,267,36
77,207,10
13,1384652,64
350,36,18
115,35,56
199,332,48
370,342,4
100,77,5
307,377,72
428,364,6
384,349,5
309844,349,5
192,184,0
357,192,16
350,399,6
308,422,5
159,157,8
285,307,18
67,377,24
292,377,20
8,396,12
243,318,4
45,383,51
13,95,32
111,275,66
26,32,60
267,394,27
364,259,6
224,364,9
342,417,4
117,170,34
308,161,5
234,117,204
161,36,3
303,100,7
205,231,15
30,195,48
152,246,12
428,349,10
422,17,15
350,287,12
307,195,72
206,233,36
147,371,20
216,399,4
59,318,32
307,122,270
147,137,50
266,203,15
86,305,6
206,186,18
163,422,1
13,417,16
246,25,52
396,170,8
153,194,18
242,1384652,24
55,25,117
328,46,30
22,264,4
203,305,10
257,35,24
232,17,30
371,246,16
358,200,95
149,22,9
404,318,2
32,349,25
304,2089740,60
214,149,54
147,48,45
146270,304,4
395,145,9
102,191,1
308,302,15
318,350,12
60,234,108
72,184,0
369,313,9
225,59,80
13,233,48
152,303,21
86,372,18
219,434,8
93,219,14
159,35,8
358,189,5
147,390,0
369,83,36
60,188,63
121,198,8
2089740,117,255
55,308,45
106,116,253
81,48,36
17,311,45
399,117,17
304,214,24
328,145,9
192,205,48
61,219,18
307,22,18
58,377,84
2,246,12
5,280,6
95,39,56
431,246,4
342,36,6
369,136,63
63,357,3
259,25,26
172,309844,6
341,61,18
124,230,14
136,364,63
296,32,10
349,2,15
417,153,6
370,216,8
92,124,7
2,417,6
287,383,34
5,87,21
35,207,16
2089740,277,75
76,92,7
234,92,84
350,106,66
370,198,8
33,61,36
13,22,8
431,238,3
188,389,7
106,296,22
1,312,40
350,372,36
267,63,27
161,396,4
271,146270,2
2,121,6
39,230,196
186,230,42
96,123,8
316,173,12
2,106,33
81,383,68
267,92,63
363,370,0
328,51,39
60,83,108
143,2,15
153,49,21
398,61,9
188,2,21
157,2089740,120
106,164,0
131,36,21
303,45,21
371,204,36
145,398,3
136,39,294
145,308,15
395,370,6
55,396,36
224,145,9
292,100,5
63,5,9
121,137,20
349,271,10
370,39,28
305,311,6
149,91,558
72,350,84
42,414,2
22,149,9
63,371,12
193,232,20
431,164,0
101,163,7
224,60,27
50,8,27
26,350,72
9,2089740,105
115,225,35
170,238,6
204,305,18
192,93,112
398,116,23
431,123,2
78,85,9
1,76,8
172,87,42
431,146270,1
131,372,42
198,172,24
111,203,55
124,246,4
91,394,186
390,37,0
9,122,105
101,45,21
292,389,5
48,61,81
364,373,18
59,234,192
402,384,2
61,389,9
71,195,48
404,384,1
95,35,32
434,269,60
316,200,76
106,285,11
26,115,84
194,39,84
292,111,55
51,304,52
275,76,6
266,2089740,45
50,35,72
164,371,0
40,78,42
55,395,27
48,410,9
311,313,9
25,91,806
364,313,9
1384652,364,24
95,232,8
67,410,6
377,404,4
363,137,0
72,373,84
414,384,1
307,267,162
13,311,24
67,216,24
45,269,45
170,173,6
349,318,10
184,328,0
1384652,243,16
116,380,92
161,26,12
32,434,20
42,81,8
313,341,6
39,296,28
122,233,90
389,184,0
275,152,18
394,45,9
124,303,7
350,377,24
205,173,9
95,170,8
434,390,0
36,37,6
398,214,6
216,77,20
266,59,48
313,275,18
48,124,9
398,308,5
266,318,6
149,257,27
377,60,36
390,157,0
318,117,34
233,121,12
172,81,24
287,58,42
159,275,6
173,369,9
9,145,21
106,216,44
380,227,28
33,67,24
269,78,45
234,71,144
303,238,21
45,100,3
402,137,20
122,30,180
35,257,24
83,189,12
146270,2089740,15
186,246,12
173,313,9
153,36,9
153,277,15
234,266,36
309844,143,5
358,219,10
205,307,54
271,111,22
30,164,0
60,264,36
233,304,24
383,17,255
1,85,24
219,275,12
49,349,35
39,198,56
342,373,12
303,58,147
111,55,99
271,35,16
395,364,9
100,78,3
342,95,8
399,188,7
232,231,10
206,161,6
193,296,20
292,131,35
350,328,18
34,402,28
1,115,56
328,85,9
194,115,42
225,106,55
45,243,6
55,49,63
146270,302,3
59,122,240
13,259,16
44,246,4
37,242,6
91,92,434
170,313,6
115,414,7
219,45,6
111,207,22
275,123,12
184,311,0
102,101,7
63,399,3
173,398,3
370,267,18
121,87,14
2089740,45,45
67,60,54
224,216,12
233,287,12
170,227,14
1,143,40
161,277,5
242,8,9
275,369,18
277,369,15
95,198,16
100,116,23
431,233,6
42,192,32
431,357,1
264,36,12
394,85,9
395,48,27
259,83,24
357,394,3
13,308,40
42,193,20
287,39,28
203,205,15
371,93,28
225,48,45
5,243,6
147,316,20
59,95,64
170,257,6
145,30,36
271,13,16
369,72,42
238,63,9
76,164,0
304,145,12
231,116,115
163,192,16
26,399,12
58,26,252
357,1384652,8
350,33,24
232,277,10
106,357,11
101,173,21
203,214,30
106,428,22
25,232,26
233,404,6
173,146270,3
33,106,44
45,189,3
153,117,51
1384652,45,24
136,243,42
396,2089740,60
137,106,110
2089740,373,90
2089740,316,60
49,230,98
216,206,24
77,42,10
303,13,56
136,13,168
116,195,92
173,410,3
36,106,33
357,55,9
230,188,98
206,194,36
60,40,126
186,188,21
309844,224,3
232,32,10
311,370,6
93,264,28
188,194,42
342,395,6
313,145,9
77,280,10
152,292,15
100,206,6
431,205,3
159,83,12
26,2,36
264,194,24
332,145,18
83,76,12
85,188,21
371,46,40
55,371,36
207,341,4
275,313,18
35,131,56
216,402,8
259,137,20
304,22,4
195,37,8
238,242,9
225,341,10
101,227,49
342,117,34
230,2,42
30,149,108
48,230,126
121,277,10
59,100,16
9,85,21
61,37,18
137,37,20
373,72,84
410,49,7
42,307,36
173,377,12
163,145,3
394,410,3
280,186,6
96,63,12
216,96,16
313,216,12
189,32,5
124,267,9
157,22,8
72,422,14
292,49,35
342,194,12
238,51,39
157,77,40
76,191,1
149,204,81
83,434,48
203,307,90
45,85,9
131,22,7
116,192,368
191,193,10
55,1384652,72
124,48,9
147,91,310
131,124,7
39,227,98
131,115,49
390,76,0
417,122,30
157,60,72
83,145,36
145,318,6
199,363,0
238,207,6
214,123,12
224,225,15
227,17,105
145,33,12
194,398,6
194,22,6
92,383,119
186,117,51
311,224,9
363,32,0
143,147,25
242,340,24
304,357,4
231,396,20
13,173,24
340,307,144
434,131,28
395,199,24
206,417,12
383,93,119
85,312,15
205,102,3
308,194,30
78,313,9
173,309844,3
67,434,24
434,1384652,32
242,234,36
42,316,8
87,369,21
264,377,16
124,311,3
30,269,180
428,233,12
271,234,24
373,304,24
111,280,22
32,285,5
86,342,6
230,122,210
205,67,18
342,390,0
48,50,81
357,231,5
30,42,24
394,51,39
124,123,2
44,37,2
123,116,46
72,234,168
85,373,18
373,173,18
328,292,15
304,39,56
51,147,65
363,271,0
296,149,18
48,8,27
87,22,7
316,55,36
332,370,12
350,404,6
85,219,6
117,302,51
275,287,12
39,380,56
198,121,8
152,58,63
231,101,35
39,78,42
305,384,2
269,395,45
199,192,128
13,87,56
205,242,9
402,232,4
328,417,6
149,303,63
45,431,3
349,264,20
396,163,4
186,146270,3
100,123,2
122,115,105
115,357,7
44,296,2
117,44,17
173,199,24
194,51,78
205,234,36
61,1,72
49,161,7
349,404,5
136,83,252
227,431,7
194,214,36
390,63,0
232,431,2
269,163,15
377,8,12
316,404,4
188,309844,7
115,380,28
83,131,84
410,2,3
146270,242,3
136,340,168
131,1384652,56
143,1384652,40
161,373,6
106,86,33
311,55,27
233,285,6
161,307,18
230,277,70
193,147,50
402,371,8
143,363,0
414,93,7
266,296,6
32,267,45
58,42,42
58,371,84
316,5,12
13,395,24
164,219,0
30,227,84
199,33,32
122,184,0
303,266,21
152,296,6
63,232,6
332,34,84
266,280,6
51,227,91
2,316,12
216,111,44
146270,267,9
246,271,8
264,131,28
238,36,9
316,161,4
50,58,189
30,100,12
214,296,12
152,369,9
287,242,6
87,172,42
13,304,32
30,257,36
58,313,63
259,431,2
159,292,5
59,1,128
203,193,50
93,81,28
309844,342,2
152,2,9
370,269,30
280,117,34
36,275,18
26,267,108
207,36,6
159,204,9
5,402,6
8,399,3
410,309844,1
194,46,60
357,50,9
238,44,3
431,157,8
266,49,21
216,30,48
377,63,12
292,153,15
233,173,18
342,137,20
246,402,8
275,164,0
422,384,1
35,67,48
285,123,2
100,373,6
369,341,6
39,44,14
9,312,35
369,199,24
72,86,42
172,308,30
311,214,18
40,63,42
117,399,17
243,67,12
371,96,16
414,192,16
13,264,32
417,63,6
49,9,49
358,234,60
373,136,126
164,308,0
227,39,98
147,44,5
157,198,32
106,396,44
32,266,15
42,231,10
266,71,36
364,34,42
238,394,9
214,116,138
369,257,9
206,93,42
204,193,90
390,234,0
59,172,96
25,71,156
230,33,56
349,390,0
428,398,2
59,61,144
398,117,17
72,44,14
33,189,4
26,172,72
243,422,2
204,383,153
394,93,21
91,189,62
17,417,30
116,2089740,345
373,370,12
207,313,6
13,67,48
48,164,0
302,199,24
1,203,40
76,204,9
205,417,6
194,8,18
153,233,18
26,45,36
224,35,24
186,172,18
316,328,12
396,216,16
191,296,2
328,285,3
195,267,36
72,67,84
61,307,162
214,242,18
58,77,105
257,219,6
2,207,6
164,398,0
188,101,49
332,32,30
46,2089740,150
45,340,24
383,384,17
36,225,15
205,422,3
61,50,81
131,231,35
342,267,18
26,8,36
232,92,14
195,152,12
34,92,98
72,243,28
377,85,12
269,225,75
46,198,40
399,48,9
398,394,3
147,131,35
225,63,15
269,357,15
152,193,30
232,164,0
257,163,3
224,2089740,45
106,22,11
422,275,6
395,224,9
163,44,1
2089740,404,15
101,9,49
232,42,4
8,296,6
72,303,98
60,292,45
230,204,126
243,404,2
307,67,108
316,163,4
131,8,21
124,51,13
49,369,21
59,106,176
417,206,12
102,1,8
86,121,6
76,422,1
48,372,54
50,233,54
308,189,5
50,384,9
60,372,54
93,357,7
311,143,15
34,49,98
277,2,15
48,227,63
399,232,2
371,63,12
92,48,63
396,340,32
45,192,48
307,159,18
63,199,24
238,26,36
35,124,8
311,189,3
159,173,3
308,402,10
13,60,72
280,63,6
186,363,0
147,51,65
92,36,21
102,77,5
93,232,14
394,111,33
227,161,7
200,123,38
193,224,30
8,81,12
131,76,7
390,145,0
161,5,3
398,316,4
95,396,16
2089740,13,120
51,161,13
117,100,17
266,434,12
146270,234,12
44,5,3
275,149,54
35,26,96
341,117,34
267,227,63
111,33,44
434,259,8
22,364,3
67,152,18
40,193,140
39,332,84
193,46,100
316,45,12
26,17,180
193,136,210
2,373,18
277,363,0
9,205,21
86,410,3
214,44,6
225,198,20
275,206,36
341,372,12
2089740,203,75
61,205,27
242,277,15
34,184,0
316,50,36
50,428,18
198,1384652,32
194,2,18
316,230,56
417,124,2
111,76,11
341,364,6
309844,147,5
63,55,27
157,358,40
101,86,21
184,170,0
111,195,44
13,191,8
305,60,18
233,55,54
122,395,45
100,159,1
431,37,2
159,434,4
205,91,186
117,370,34
198,101,28
157,380,32
172,395,18
373,402,12
259,216,8
230,59,224
285,205,3
146270,93,7
231,149,45
40,431,14
40,34,196
243,332,12
184,100,0
328,67,18
243,25,26
318,92,14
238,390,0
