Interval,Measure,BestRange,TrainAccuracy
0-1,CN,"[(6.4, 7.2)]",0.914435009797518
0-1,JC,"[(0.6000000000000001, 0.7000000000000001)]",0.914435009797518
0-1,AA,"[(0.6633333333333333, 0.758095238095238)]",0.914435009797518
0-1,PA,"[(651.0, 744.0)]",0.9142172871761376
0-1,GD,"[(-3.6, -3.2)]",0.914435009797518
1-2,CN,"[(9.0, 10.0)]",0.8765686072824521
1-2,JC,"[(0.6000000000000001, 0.7000000000000001)]",0.8767743262703147
1-2,AA,"[(0.6206498673740053, 0.6896109637488947)]",0.8763628882945896
1-2,PA,"[(817.8000000000001, 954.1000000000001)]",0.8767743262703147
1-2,GD,"[(-3.6, -3.2)]",0.8767743262703147
2-3,CN,"[(6.4, 7.2)]",0.8686190766727679
2-3,JC,"[(0.6000000000000001, 0.7000000000000001)]",0.8686190766727679
2-3,AA,"[(0.5093284493284493, 0.5942165242165242)]",0.8686190766727679
2-3,PA,"[(960.0, 1080.0)]",0.8684157006304657
2-3,GD,"[(-3.6, -3.2)]",0.8686190766727679
3-4,CN,"[(0.3, 0.6)]",0.7420395002015316
3-4,JC,"[(0.30000000000000004, 0.4)]",0.7420395002015316
3-4,AA,"[(0.38500000000000006, 0.44000000000000006)]",0.7420395002015316
3-4,PA,"[(651.0, 781.1999999999999)]",0.7420395002015316
3-4,GD,"[(-3.6, -3.2)]",0.7420395002015316
